id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent
929741,kel,243,,313,,-70,,-29%,#DIV/0!,,,78203/79564/928157
20959,kel,287,302,369,395,-82,-93,-29%,-31%,,,20802/20923/20944
77714,kec,1223,1465,923,1376,300,89,25%,6%,-242,-453,77085/77578
928155,kec,3678,,2860,,818,,22%,#DIV/0!,3678,2860,78203/79564
47781,kec,25277,11089,20048,7930,5229,3159,21%,28%,14188,12118,42385/47634
50616,kel,34,956,25,671,9,285,26%,30%,,,42385/50532/50604
77324,kel,334,261,248,70,86,191,26%,73%,,,77085/77311/77322
83745,kec,2348,,1877,,471,,20%,#DIV/0!,2348,1877,78203/79629
25467,kec,1499,543,1217,357,282,186,19%,34%,956,860,25405/25429
491,kel,33,378,41,378,-8,0,-24%,0%,,,1/269/467
4034,kel,42,237,32,236,10,1,24%,0%,,,1/3205/4033
929717,kel,942,,722,,220,,23%,#DIV/0!,,,78203/79564/928153
52829,kel,747,2316,921,2692,-174,-376,-23%,-16%,,,51578/52593/52824
31487,kec,20081,26883,16733,23227,3348,3656,17%,14%,-6802,-6494,26141/31345
43175,kec,20364,6642,17069,5882,3295,760,16%,11%,13722,11187,42385/43069
23748,kel,868,627,675,674,193,-47,22%,-7%,,,22328/23737/23738
58734,kel,1198,429,1454,519,-256,-90,-21%,-21%,,,58285/58567/58724
7380,kel,287,81,347,21,-60,60,-21%,74%,,,6728/7240/7376
59447,kec,2076,129,1767,119,309,10,15%,8%,1947,1648,58285/59320
83077,kec,1738,299,1490,298,248,1,14%,0%,1439,1192,81877/82965
928156,kec,2692,,2308,,384,,14%,#DIV/0!,2692,2308,78203/79564
47650,kec,32124,9844,27610,7581,4514,2263,14%,23%,22280,20029,42385/47634
929750,kel,480,,390,,90,,19%,#DIV/0!,,,78203/79564/928158
8785,kel,1133,388,922,372,211,16,19%,4%,,,6728/8688/8775
1092,kel,65,403,53,234,12,169,18%,42%,,,1/671/1080
927634,kel,1372,,1120,,252,,18%,#DIV/0!,,,78203/79564/928162
70843,kel,751,1954,888,2261,-137,-307,-18%,-16%,,,69268/70757/70842
27393,kel,1406,2644,1155,3527,251,-883,18%,-33%,,,26141/27026/27389
62715,kel,481,925,566,717,-85,208,-18%,22%,,,61965/62643/62708
4054,kel,51,224,42,237,9,-13,18%,-6%,,,1/3205/4033
75302,kec,2970,4543,2556,3720,414,823,14%,18%,-1573,-1164,74716/75301
89120,kel,283,,332,,-49,,-17%,#DIV/0!,,,78203/79564/928157
55888,kel,2585,684,2143,516,442,168,17%,25%,,,55065/928072/55882
929746,kel,274,,320,,-46,,-17%,#DIV/0!,,,78203/79564/928157
7153,kel,958,38,1118,46,-160,-8,-17%,-21%,,,6728/7132/7133
74469,kec,1845,825,1589,782,256,43,14%,5%,1020,807,72551/74437
10823,kec,4330,379,3759,313,571,66,13%,17%,3951,3446,6728/10646
77327,kel,217,289,252,397,-35,-108,-16%,-37%,,,77085/77311/77322
3232,kel,26,616,22,438,4,178,15%,29%,,,1/3205/3206
31892,kel,617,2571,711,2425,-94,146,-15%,6%,,,26141/31685/31889
10699,kec,7449,414,6596,389,853,25,11%,6%,7035,6207,6728/10646
928157,kec,3283,,2931,,352,,11%,#DIV/0!,3283,2931,78203/79564
66334,kec,1690,200,1534,195,156,5,9%,3%,1490,1339,65702/66188
83777,kec,6498,4301,5920,3598,578,703,9%,16%,2197,2322,74716/74717
50643,kel,1210,9479,1380,9309,-170,170,-14%,2%,,,42385/50532/50632
47747,kec,27610,7581,25277,11089,2333,-3508,8%,-46%,20029,14188,42385/47634
77326,kel,252,397,217,289,35,108,14%,27%,,,77085/77311/77322
83619,kec,1391,33,1275,30,116,3,8%,9%,1358,1245,78203/80526
68131,kel,691,566,785,640,-94,-74,-14%,-13%,,,67393/68041/68130
73551,kel,565,300,640,345,-75,-45,-13%,-15%,,,72551/928084/73546
31890,kel,711,2425,617,2571,94,-146,13%,-6%,,,26141/31685/31889
59355,kec,2730,141,2516,129,214,12,8%,9%,2589,2387,58285/59320
89131,kel,411,,463,,-52,,-13%,#DIV/0!,,,78203/79564/928153
927631,kel,511,,447,,64,,13%,#DIV/0!,,,78203/79564/928158
80725,kec,24868,,23271,,1597,,6%,#DIV/0!,24868,23271,78203/80724
19454,kel,834,400,934,400,-100,0,-12%,0%,,,17404/19172/19440
77325,kel,169,378,149,291,20,87,12%,23%,,,77085/77311/83860
10735,kec,3464,200,3300,200,164,0,5%,0%,3264,3100,6728/10646
78980,kel,146,4,162,8,-16,-4,-11%,-100%,,,78203/78927/78979
22376,kel,1048,220,934,233,114,-13,11%,-6%,,,22328/22329/22368
83459,kec,4340,253,4144,235,196,18,5%,7%,4087,3909,6728/10646
66846,kel,319,139,353,145,-34,-6,-11%,-4%,,,65702/66718/66845
