,id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent,gap diffrence vote,gap gap percentage
58,36944,kel,5228,1204,2743,650,2485,554,47.53,46.01,4024,2093,32676/36790/36939,1931,1.5200000000000031
59,1935,kel,37,231,20,324,17,-93,45.95,-40.26,-194,-304,1/1824/1883,110,86.21000000000001
60,86816,kel,561,0,817,0,-256,0,-45.63,0.0,561,817,78203/79564/83726,256,45.63
61,47701,kec,26607,8760,16219,4057,10388,4703,39.04,53.69,17847,12162,42385/47634,5685,14.649999999999999
62,928154,kec,5326,0,3568,0,1758,0,33.01,0.0,5326,3568,78203/79564,1758,33.01
63,57507,kel,200,117,286,22,-86,95,-43.0,81.2,83,264,55065/57406/57491,181,124.2
64,77523,kel,261,1,149,1,112,0,42.91,0.0,260,148,77085/77364/77520,112,42.91
65,75650,kel,287,241,408,293,-121,-52,-42.16,-21.58,46,115,75425/75502/75643,69,20.58
66,6814,kel,1702,1848,1000,1813,702,35,41.25,1.89,-146,-813,6728/6789/6812,667,39.36
67,10990,kec,6986,143,4856,92,2130,51,30.49,35.66,6843,4764,6728/10646,2079,5.169999999999998
68,47733,kec,25525,9633,18468,6479,7057,3154,27.65,32.74,15892,11989,42385/47634,3903,5.090000000000003
69,4046,kel,26,153,36,108,-10,45,-38.46,29.41,-127,-72,1/3205/4033,55,67.87
70,4052,kel,16,159,10,117,6,42,37.5,26.42,-143,-107,1/3205/4033,36,11.079999999999998
71,66717,kel,319,16,434,23,-115,-7,-36.05,-43.75,303,411,65702/66544/66710,108,7.700000000000003
72,929734,kel,344,0,467,0,-123,0,-35.76,0.0,344,467,78203/79564/928156,123,35.76
73,31894,kel,1085,2974,703,1904,382,1070,35.21,35.98,-1889,-1201,26141/31685/31889,688,0.769999999999996
74,77331,kel,248,70,334,261,-86,-191,-34.68,-272.86,178,73,77085/77311/77322,105,238.18
75,89935,kel,151,18,202,9,-51,9,-33.77,50.0,133,193,65702/66718/66803,60,83.77000000000001
76,4047,kel,12,81,8,103,4,-22,33.33,-27.16,-69,-95,1/3205/4033,26,60.489999999999995
77,929751,kel,514,0,343,0,171,0,33.27,0.0,514,343,78203/79564/928158,171,33.27
78,928160,kec,3078,0,2255,0,823,0,26.74,0.0,3078,2255,78203/79564,823,26.74
79,31895,kel,703,1904,479,1765,224,139,31.86,7.3,-1201,-1286,26141/31685/31889,85,24.56
80,55727,kec,2320,126,1734,96,586,30,25.26,23.81,2194,1638,55065/55620,556,1.4500000000000028
81,929741,kel,243,0,313,0,-70,0,-28.81,0.0,243,313,78203/79564/928157,70,28.81
82,20959,kel,287,302,369,395,-82,-93,-28.57,-30.79,-15,-26,20802/20923/20944,11,2.219999999999999
83,77714,kec,1223,1465,923,1376,300,89,24.53,6.08,-242,-453,77085/77578,211,18.450000000000003
84,928155,kec,3678,0,2860,0,818,0,22.24,0.0,3678,2860,78203/79564,818,22.24
85,47781,kec,25277,11089,20048,7930,5229,3159,20.69,28.49,14188,12118,42385/47634,2070,7.799999999999997
86,50616,kel,34,956,25,671,9,285,26.47,29.81,-922,-646,42385/50532/50604,276,3.34
87,77324,kel,334,261,248,70,86,191,25.75,73.18,73,178,77085/77311/77322,105,47.43000000000001
88,83745,kec,2348,0,1877,0,471,0,20.06,0.0,2348,1877,78203/79629,471,20.06
89,25467,kec,1499,543,1217,357,282,186,18.81,34.25,956,860,25405/25429,96,15.440000000000001
90,491,kel,33,378,41,378,-8,0,-24.24,0.0,-345,-337,1/269/467,8,24.24
91,4034,kel,42,237,32,236,10,1,23.81,0.42,-195,-204,1/3205/4033,9,23.389999999999997
92,929717,kel,942,0,722,0,220,0,23.35,0.0,942,722,78203/79564/928153,220,23.35
93,52829,kel,747,2316,921,2692,-174,-376,-23.29,-16.23,-1569,-1771,51578/52593/52824,202,7.059999999999999
94,31487,kec,20081,26883,16733,23227,3348,3656,16.67,13.6,-6802,-6494,26141/31345,308,3.070000000000002
95,43175,kec,20364,6642,17069,5882,3295,760,16.18,11.44,13722,11187,42385/43069,2535,4.74
96,23748,kel,868,627,675,674,193,-47,22.24,-7.5,241,1,22328/23737/23738,240,29.74
97,58734,kel,1198,429,1454,519,-256,-90,-21.37,-20.98,769,935,58285/58567/58724,166,0.39000000000000057
98,7380,kel,287,81,347,21,-60,60,-20.91,74.07,206,326,6728/7240/7376,120,94.97999999999999
99,59447,kec,2076,129,1767,119,309,10,14.88,7.75,1947,1648,58285/59320,299,7.130000000000001
100,83077,kec,1738,299,1490,298,248,1,14.27,0.33,1439,1192,81877/82965,247,13.94
101,928156,kec,2692,0,2308,0,384,0,14.26,0.0,2692,2308,78203/79564,384,14.26
102,47650,kec,32124,9844,27610,7581,4514,2263,14.05,22.99,22280,20029,42385/47634,2251,8.939999999999998
103,929750,kel,480,0,390,0,90,0,18.75,0.0,480,390,78203/79564/928158,90,18.75
104,8785,kel,1133,388,922,372,211,16,18.62,4.12,745,550,6728/8688/8775,195,14.5
105,1092,kel,65,403,53,234,12,169,18.46,41.94,-338,-181,1/671/1080,157,23.479999999999997
106,927634,kel,1372,0,1120,0,252,0,18.37,0.0,1372,1120,78203/79564/928162,252,18.37
107,70843,kel,751,1954,888,2261,-137,-307,-18.24,-15.71,-1203,-1373,69268/70757/70842,170,2.5299999999999976
108,27393,kel,1406,2644,1155,3527,251,-883,17.85,-33.4,-1238,-2372,26141/27026/27389,1134,51.25
109,62715,kel,481,925,566,717,-85,208,-17.67,22.49,-444,-151,61965/62643/62708,293,40.16
110,4054,kel,51,224,42,237,9,-13,17.65,-5.8,-173,-195,1/3205/4033,22,23.45
111,75302,kec,2970,4543,2556,3720,414,823,13.94,18.12,-1573,-1164,74716/75301,409,4.1800000000000015
